ID_Inicio,ID_Fim,Modelo,Tipo,Categoria,Energia
501,510,Elétricos Articulados SIEMENS (501-510),Elétrico,Articulado,Elétrico
601,615,Elétricos Articulados CAF (601-615),Elétrico,Articulado,Elétrico
541,585,Elétricos Remodelados (541-585),Elétrico,Remodelado,Elétrico
201,240,Mini Mercedes Sprinter (201-240),Autocarro,Mini,Gasóleo
251,284,Mini MAN (251-283),Autocarro,Mini,Gasóleo
401,414,Mini Karsan (401-414),Autocarro,Mini,Elétrico
1700,1799,Standard Volvo (1701-1780),Autocarro,Standard,Gasóleo
2201,2500,Standard MAN (2201-2500),Autocarro,Standard,Gasóleo
2601,2820,Standard MAN GNC (2601-2820),Autocarro,Standard,Gás
2821,2844,Articulado MAN (2821-2844),Autocarro,Articulado,Gás
2941,2997,Médio MAN (2941-2997),Autocarro,Médio,Gasóleo
4600,4699,Articulado Mercedes (4601-4650),Autocarro,Articulado,Gasóleo
4800,4899,Articulado Mercedes GNC (4801-4840),Autocarro,Articulado,Gás
5000,5999,Standard Scania (5001-5075),Autocarro,Standard,Gás
6000,6999,Standard Caetano (6001-6050),Autocarro,Standard,Elétrico
301,310,Standard MAN ex-CarrisTur (301-310),Autocarro,Standard,Gasóleo
