shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
143_1_ASC_shp,38.71404840,-9.16090900,371,6610
100_3_ASC_shp,38.79440430,-9.10052300,260,4667
143_1_DESC_shp,38.73540770,-9.13791460,371,6851
147_3_ASC_shp,38.70807030,-9.13328960,13,102
172_0_DESC_shp,38.70636400,-9.14281260,576,11343
251_0_CIRC_shp,38.74220800,-9.13190710,235,4625
122_0_DESC_shp,38.72702980,-9.16155590,396,8837
122_0_ASC_shp,38.70568840,-9.17179950,396,7839
150_0_ASC_shp,38.74699210,-9.18727960,446,7529
179_0_ASC_shp,38.75345380,-9.19047650,291,7722
66_0_ASC_shp,38.70838120,-9.13647040,100,884
61_0_DESC_shp,38.76560090,-9.19851250,46,1468
150_0_DESC_shp,38.71778000,-9.15160730,446,7893
179_0_DESC_shp,38.76290070,-9.15958100,291,7297
163_1_DESC_shp,38.73328860,-9.13281280,208,3729
163_1_ASC_shp,38.71717680,-9.12981230,208,3651
248_0_ASC_shp,38.70661180,-9.19733900,451,8737
116_0_DESC_shp,38.73869410,-9.16456880,277,5519
248_0_DESC_shp,38.73696920,-9.16665730,451,9726
116_0_ASC_shp,38.74267480,-9.16655530,277,5944
226_0_CIRC_shp,38.73069860,-9.10758010,412,7907
115_0_DESC_shp,38.76838140,-9.10432070,28,540
115_0_ASC_shp,38.73125080,-9.11689730,28,663
106_0_DESC_shp,38.70145840,-9.22752390,99,468
101_0_DESC_shp,38.74312970,-9.20580490,223,3685
106_0_ASC_shp,38.75797710,-9.11018330,99,2516
101_0_ASC_shp,38.72236630,-9.17098440,223,4748
201_0_ASC_shp,38.74842980,-9.18169410,240,5032
144_0_DESC_shp,38.72289320,-9.11535400,584,11706
201_0_DESC_shp,38.74073390,-9.21412100,240,3593
144_0_ASC_shp,38.77480240,-9.11149180,584,12352
62_0_DESC_shp,38.70254160,-9.18096680,580,11374
176_0_ASC_shp,38.77516180,-9.10106890,86,1421
176_0_DESC_shp,38.75509990,-9.13027050,86,2296
100_0_DESC_shp,38.76288600,-9.12999250,493,10384
195_0_DESC_shp,38.75411700,-9.19730500,126,2020
100_0_ASC_shp,38.77872260,-9.09527140,493,12120
195_0_ASC_shp,38.74675210,-9.10974460,126,2278
106_0_DESC_shp,38.72971350,-9.20868900,317,5150
60_0_ASC_shp,38.70061620,-9.18250580,179,3933
106_0_ASC_shp,38.75416340,-9.18572080,317,9940
79_0_DESC_shp,38.70933900,-9.13630370,282,4456
60_0_ASC_shp,38.71386090,-9.22469830,606,10426
103_1_ASC_shp,38.70419310,-9.17867720,267,5074
174_0_ASC_shp,38.79316080,-9.15527970,183,4106
103_1_DESC_shp,38.69792290,-9.19117620,267,5020
174_0_DESC_shp,38.76714340,-9.15799260,183,4166
150_0_ASC_shp,38.72099190,-9.16166790,167,2863
150_0_DESC_shp,38.74231400,-9.17203820,167,3602
248_0_ASC_shp,38.72464780,-9.19364720,275,5697
116_0_DESC_shp,38.73437260,-9.14141860,417,8275
248_0_DESC_shp,38.72312980,-9.18202750,275,5695
116_0_ASC_shp,38.75995800,-9.19170110,417,9238
250_0_CIRC_shp,38.71650610,-9.16477200,180,3981
198_0_DESC_shp,38.73754560,-9.12747550,259,5247
198_0_ASC_shp,38.72569170,-9.12992500,259,4419
109_4_DESC_shp,38.69744270,-9.19473070,43,784
199_1_ASC_shp,38.70716350,-9.14156270,59,389
109_4_ASC_shp,38.73006050,-9.16836710,43,323
199_1_DESC_shp,38.78821650,-9.17677130,59,696
204_0_ASC_shp,38.71264790,-9.12345210,502,10188
103_1_ASC_shp,38.69781940,-9.19175330,319,6466
204_0_DESC_shp,38.70810170,-9.13759870,502,12412
103_1_DESC_shp,38.70399750,-9.17894320,319,6329
150_0_ASC_shp,38.72839730,-9.16240370,219,3899
150_0_DESC_shp,38.74111110,-9.16848440,219,4000
100_1_ASC_shp,38.79383360,-9.09764020,532,12237
100_1_DESC_shp,38.74612990,-9.13131100,532,12247
103_4_ASC_shp,38.71350320,-9.15324190,306,6054
60_0_DESC_shp,38.70641220,-9.15494460,550,10080
178_0_DESC_shp,38.71060230,-9.18035650,524,10744
171_2_ASC_shp,38.70859620,-9.13570590,10,84
79_0_ASC_shp,38.70808240,-9.13729480,53,848
171_2_DESC_shp,38.70419310,-9.17867720,10,244
167_4_DESC_shp,38.66728180,-9.16680860,20,288
204_1_DESC_shp,38.77915460,-9.10581140,576,20777
204_1_ASC_shp,38.78023700,-9.10194490,576,12009
204_0_ASC_shp,38.75300550,-9.09548640,636,15593
204_0_DESC_shp,38.70354380,-9.16343180,636,14812
100_1_ASC_shp,38.76102940,-9.12128070,125,4011
123_0_DESC_shp,38.71510770,-9.16947120,23,214
100_1_DESC_shp,38.78343170,-9.09427300,125,2836
123_0_ASC_shp,38.75784580,-9.15528730,23,374
75_0_ASC_shp,38.71132010,-9.13066250,211,2912
75_0_DESC_shp,38.71335580,-9.12873890,206,2103
66_0_DESC_shp,38.73270250,-9.10583100,640,13496
199_0_DESC_shp,38.78612690,-9.17302360,102,1484
122_0_DESC_shp,38.70636690,-9.17365830,139,3440
199_0_ASC_shp,38.73266360,-9.14542600,102,2500
122_0_ASC_shp,38.72811940,-9.16047270,139,2740
169_0_DESC_shp,38.72514930,-9.14897590,397,9817
199_3_DESC_shp,38.70786750,-9.13870600,534,11013
244_0_CIRC_shp,38.73478390,-9.15262210,258,5638
103_4_ASC_shp,38.70573230,-9.20235900,627,12905
64_0_ASC_shp,38.77902290,-9.14430160,639,12887
165_0_ASC_shp,38.77375270,-9.16177620,220,4214
112_0_DESC_shp,38.72414290,-9.13995060,783,14959
165_0_DESC_shp,38.76429400,-9.18090260,220,5096
198_0_DESC_shp,38.72917190,-9.14381510,25,304
198_0_ASC_shp,38.73351900,-9.12206960,25,266
108_3_ASC_shp,38.71003810,-9.13514840,371,14503
108_3_DESC_shp,38.73353920,-9.15334320,371,6800
171_0_ASC_shp,38.70768390,-9.13957520,175,3046
171_0_DESC_shp,38.70766080,-9.19640660,175,3621
278_0_CIRC_shp,38.75115150,-9.20632160,365,8123
196_0_DESC_shp,38.78301510,-9.11400500,41,724
136_0_DESC_shp,38.78644820,-9.17883180,43,428
196_0_ASC_shp,38.72533750,-9.14938590,41,1286
136_0_ASC_shp,38.70718320,-9.14151400,43,247
101_0_DESC_shp,38.74881650,-9.21387010,76,1147
101_0_ASC_shp,38.71438350,-9.13928310,76,1214
203_3_DESC_shp,38.77110940,-9.12177190,178,3256
203_3_ASC_shp,38.73164130,-9.14605320,178,3572
168_2_ASC_shp,38.74286620,-9.20576360,132,2878
168_2_DESC_shp,38.74086610,-9.20974440,132,2508
103_0_DESC_shp,38.72008150,-9.15432580,496,9971
103_0_ASC_shp,38.70105970,-9.18178580,496,9857
136_1_ASC_shp,38.70871200,-9.13516400,97,827
61_0_ASC_shp,38.77037220,-9.18848890,810,15090
61_0_DESC_shp,38.71549050,-9.14509080,807,14607
107_2_DESC_shp,38.70627990,-9.14480470,396,9166
106_4_DESC_shp,38.70634190,-9.22188820,178,1810
107_2_ASC_shp,38.70370600,-9.19431380,396,8447
106_4_ASC_shp,38.72816290,-9.21072600,178,3760
107_2_DESC_shp,38.71215280,-9.21480350,43,674
107_2_ASC_shp,38.72313500,-9.14820150,43,519
103_4_ASC_shp,38.74895060,-9.14163220,38,1021
64_0_DESC_shp,38.73291190,-9.14541360,210,4165
76_0_DESC_shp,38.70373140,-9.16238990,318,6582
250_0_CIRC_shp,38.71921500,-9.16812060,37,936
279_0_CIRC_shp,38.75288500,-9.20625960,124,2266
108_3_ASC_shp,38.73322730,-9.15290180,515,17887
224_0_CIRC_shp,38.72720370,-9.12569700,87,2145
