route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
198_0,Ferias Escolares_Util_20260101,4968_20260101_198_0_19,,,1,,198_0_DESC_shp,,
143_0,Ferias Escolares_Util_20260101,4096_20260101_143_0_14,,,1,,143_0_DESC_shp,,
109_0,Ferias Escolares_Util_20260101,6457_20260101_109_0_10,,,1,,109_0_DESC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_191,,,1,,161_0_DESC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_181,,,1,,161_0_DESC_shp,,
147_0,Natal & Ano Novo_DomingoFeriado_20260101,39456_20260101_147_0_2,,,0,,147_0_ASC_shp,,
200_0,Natal & Ano Novo_DomingoFeriado_20260101,39536_20260101_200_0_8,,,1,,200_0_DESC_shp,,
170_0,Verao_Util_20260101,3790_20260101_170_0_13,,,0,,170_0_ASC_shp,,
75_8,Natal & Ano Novo_DomingoFeriado_20260101,51223_20260101_75_8_38,,,0,,75_8_ASC_shp,,
75_8,Natal & Ano Novo_DomingoFeriado_20260101,51223_20260101_75_8_28,,,0,,75_8_ASC_shp,,
75_8,Natal & Ano Novo_DomingoFeriado_20260101,51223_20260101_75_8_18,,,0,,75_8_ASC_shp,,
117_0,Feriados_DomingoFeriado_20260101,5529_20260101_117_0_12,,,1,,117_0_DESC_shp,,
244_0,Inverno_DomingoFeriado_20260101,35056_20260101_244_0_9,,,0,,244_0_CIRC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_151,,,1,,161_0_DESC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_141,,,1,,161_0_DESC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_171,,,1,,161_0_DESC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_161,,,1,,161_0_DESC_shp,,
282_0,Verao_Util_20260101,49568_20260101_282_0_3,,,0,,282_0_ASC_shp,,
190_0,Natal & Ano Novo_DomingoFeriado_20260101,17191_20260101_190_0_9,,,0,,190_0_ASC_shp,,
112_0,Natal & Ano Novo_DomingoFeriado_20260101,17342_20260101_112_0_4,,,1,,112_0_DESC_shp,,
148_0,Verao_Util_20260101,3392_20260101_148_0_30,,,0,,148_0_ASC_shp,,
148_0,Verao_Util_20260101,3392_20260101_148_0_20,,,0,,148_0_ASC_shp,,
198_0,Agosto_Sabado_20260101,4964_20260101_198_0_11,,,0,,198_0_ASC_shp,,
148_0,Verao_Util_20260101,3392_20260101_148_0_10,,,0,,148_0_ASC_shp,,
143_1,Ferias Escolares_Util_20260101,4096_20260101_143_1_24,,,1,,143_1_DESC_shp,,
101_0,Inverno_DomingoFeriado_20260101,3468_20260101_101_0_13,,,0,,101_0_ASC_shp,,
175_0,Inverno_Util_20260101,6730_20260101_175_0_12,,,1,,175_0_DESC_shp,,
175_0,Inverno_Util_20260101,6730_20260101_175_0_22,,,1,,175_0_DESC_shp,,
177_0,Inverno_DomingoFeriado_20260101,6099_20260101_177_0_19,,,0,,177_0_ASC_shp,,
123_0,Inverno_Util_20260101,2939_20260101_123_0_17,,,1,,123_0_DESC_shp,,
159_0,Natal & Ano Novo_DomingoFeriado_20260101,17444_20260101_159_0_38,,,0,,159_0_ASC_shp,,
79_0,Ferias Escolares_Util_20260101,14265_20260101_79_0_14,,,0,,79_0_ASC_shp,,
159_0,Natal & Ano Novo_DomingoFeriado_20260101,17444_20260101_159_0_39,,,1,,159_0_DESC_shp,,
159_0,Natal & Ano Novo_DomingoFeriado_20260101,17444_20260101_159_0_36,,,0,,159_0_ASC_shp,,
159_0,Natal & Ano Novo_DomingoFeriado_20260101,17444_20260101_159_0_37,,,1,,159_0_DESC_shp,,
79_0,Ferias Escolares_Util_20260101,14265_20260101_79_0_24,,,0,,79_0_ASC_shp,,
150_0,Verao_Util_20260101,6879_20260101_150_0_11,,,0,,150_0_ASC_shp,,
159_0,Natal & Ano Novo_DomingoFeriado_20260101,17444_20260101_159_0_34,,,0,,159_0_ASC_shp,,
150_0,Verao_Util_20260101,6879_20260101_150_0_21,,,0,,150_0_ASC_shp,,
159_0,Natal & Ano Novo_DomingoFeriado_20260101,17444_20260101_159_0_35,,,1,,159_0_DESC_shp,,
159_0,Natal & Ano Novo_DomingoFeriado_20260101,17444_20260101_159_0_32,,,0,,159_0_ASC_shp,,
159_0,Natal & Ano Novo_DomingoFeriado_20260101,17444_20260101_159_0_33,,,1,,159_0_DESC_shp,,
159_0,Natal & Ano Novo_DomingoFeriado_20260101,17444_20260101_159_0_30,,,0,,159_0_ASC_shp,,
199_0,Inverno_Util_20260101,18817_20260101_199_0_3,,,0,,199_0_ASC_shp,,
159_0,Natal & Ano Novo_DomingoFeriado_20260101,17444_20260101_159_0_31,,,1,,159_0_DESC_shp,,
106_0,Agosto_Sabado_20260101,6254_20260101_106_0_12,,,0,,106_0_ASC_shp,,
148_0,Agosto_DomingoFeriado_20260101,18720_20260101_148_0_4,,,0,,148_0_ASC_shp,,
277_0,Feriados_Agosto_DomingoFeriado_20260101,45296_20260101_277_0_21,,,1,,277_0_DESC_shp,,
277_0,Feriados_Agosto_DomingoFeriado_20260101,45296_20260101_277_0_20,,,0,,277_0_ASC_shp,,
277_0,Feriados_Agosto_DomingoFeriado_20260101,45296_20260101_277_0_22,,,0,,277_0_ASC_shp,,
116_0,Inverno_Util_20260101,4286_20260101_116_0_12,,,1,,116_0_DESC_shp,,
179_0,Inverno_DomingoFeriado_20260101,18987_20260101_179_0_6,,,1,,179_0_DESC_shp,,
147_0,Agosto_Sabado_20260101,20149_20260101_147_0_3,,,0,,147_0_ASC_shp,,
106_0,Verao_Util_20260101,6263_20260101_106_0_12,,,1,,106_0_DESC_shp,,
174_0,Inverno_DomingoFeriado_20260101,8129_20260101_174_0_38,,,1,,174_0_DESC_shp,,
111_0,Verao_Util_20260101,7327_20260101_111_0_14,,,1,,111_0_DESC_shp,,
174_0,Inverno_DomingoFeriado_20260101,8129_20260101_174_0_28,,,1,,174_0_DESC_shp,,
174_0,Inverno_DomingoFeriado_20260101,8129_20260101_174_0_18,,,1,,174_0_DESC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_5,,,1,,75_8_DESC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_4,,,0,,75_8_ASC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_7,,,1,,75_8_DESC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_6,,,0,,75_8_ASC_shp,,
174_0,Inverno_DomingoFeriado_20260101,8129_20260101_174_0_48,,,1,,174_0_DESC_shp,,
106_0,Natal & Ano Novo_DomingoFeriado_20260101,17274_20260101_106_0_5,,,0,,106_0_ASC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_3,,,1,,75_8_DESC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_2,,,0,,75_8_ASC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_9,,,1,,75_8_DESC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_8,,,0,,75_8_ASC_shp,,
112_0,Verao_Util_20260101,7296_20260101_112_0_12,,,1,,112_0_DESC_shp,,
226_0,Inverno_Util_20260101,19151_20260101_226_0_4,,,0,,226_0_CIRC_shp,,
100_1,Natal & Ano Novo_DomingoFeriado_20260101,17051_20260101_100_1_18,,,1,,100_1_DESC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_6,,,0,,108_0_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_6,,,0,,204_0_ASC_shp,,
122_0,Agosto_Sabado_20260101,18723_20260101_122_0_3,,,0,,122_0_ASC_shp,,
100_1,Natal & Ano Novo_DomingoFeriado_20260101,17051_20260101_100_1_19,,,0,,100_1_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_7,,,1,,204_0_DESC_shp,,
75_0,Ferias Escolares_Util_20260101,15019_20260101_75_0_10,,,0,,75_0_ASC_shp,,
136_0,Verao_Util_20260101,12969_20260101_136_0_1,,,1,,136_0_DESC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_4,,,0,,108_0_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_4,,,0,,204_0_ASC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_5,,,1,,108_0_DESC_shp,,
167_0,Inverno_DomingoFeriado_20260101,20090_20260101_167_0_5,,,0,,167_0_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_5,,,1,,204_0_DESC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_2,,,0,,108_0_ASC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_3,,,1,,108_0_DESC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_3,,,1,,204_0_DESC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_1,,,1,,108_0_DESC_shp,,
158_0,Feriados_DomingoFeriado_20260101,62232_20260101_158_0_11,,,0,,158_0_CIRC_shp,,
158_0,Feriados_DomingoFeriado_20260101,62232_20260101_158_0_10,,,0,,158_0_CIRC_shp,,
158_0,Feriados_DomingoFeriado_20260101,62232_20260101_158_0_13,,,0,,158_0_CIRC_shp,,
160_0,Inverno_DomingoFeriado_20260101,1336_20260101_160_0_53,,,0,,160_0_ASC_shp,,
103_5,Agosto_DomingoFeriado_20260101,18603_20260101_103_5_19,,,0,,103_5_ASC_shp,,
158_0,Feriados_DomingoFeriado_20260101,62232_20260101_158_0_12,,,0,,158_0_CIRC_shp,,
160_0,Inverno_DomingoFeriado_20260101,1336_20260101_160_0_43,,,0,,160_0_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_8,,,0,,204_0_ASC_shp,,
160_0,Inverno_DomingoFeriado_20260101,1336_20260101_160_0_33,,,0,,160_0_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_9,,,1,,204_0_DESC_shp,,
158_0,Feriados_DomingoFeriado_20260101,62232_20260101_158_0_14,,,0,,158_0_CIRC_shp,,
160_0,Inverno_DomingoFeriado_20260101,1336_20260101_160_0_23,,,0,,160_0_ASC_shp,,
160_0,Inverno_DomingoFeriado_20260101,1336_20260101_160_0_13,,,0,,160_0_ASC_shp,,
114_0,Verao_Util_20260101,5679_20260101_114_0_12,,,0,,114_0_ASC_shp,,
151_0,Verao_Util_20260101,7750_20260101_151_0_14,,,0,,151_0_ASC_shp,,
102_0,Agosto_Sabado_20260101,3663_20260101_102_0_14,,,0,,102_0_ASC_shp,,
204_3,Inverno_Util_20260101,4589_20260101_204_3_2,,,0,,204_3_ASC_shp,,
78_0,Ferias Escolares_Util_20260101,12194_20260101_78_0_18,,,1,,78_0_DESC_shp,,
147_0,Agosto_DomingoFeriado_20260101,20145_20260101_147_0_5,,,0,,147_0_ASC_shp,,
123_0,Inverno_Sabado_20260101,2955_20260101_123_0_19,,,1,,123_0_DESC_shp,,
112_1,Agosto_Sabado_20260101,7215_20260101_112_1_17,,,0,,112_1_ASC_shp,,
170_0,Agosto_Sabado_20260101,3855_20260101_170_0_19,,,0,,170_0_ASC_shp,,
